id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
376,Bajcetic,Stefan,Bajčetić Maquieira,Liverpool,14,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
377,Munoz,Victor,Munoz,Liverpool,14,3,MID,65,15,257,1,1,1,2,0,0,0,1,0,0,0,60,50.4,31.4,86.0,16.8,3,0.52,0.31,0.83,4.63,3.0,3.0,0.9,a,3,8,5,16
378,McConnell,James,McConnell,Liverpool,14,3,MID,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.2,a,0,0,0,0
379,Isak,Alexander,Isak,Liverpool,14,4,FWD,91,33,413,4,0,3,4,0,0,0,1,0,0,8,133,113.6,34.1,176.0,32.3,5,3.54,0.08,3.62,5.82,6.6,6.6,22.1,a,1,3,3,7
380,Ekitiké,Hugo,Ekitiké,Liverpool,14,4,FWD,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,i,0,0,0,0
381,Koumas,Lewis,Koumas,Liverpool,14,3,MID,50,3,22,0,0,0,0,0,0,0,0,0,0,0,14,1.2,0.5,7.0,0.9,0,0.28,0.00,0.28,0.72,0.6,1.0,0.0,a,0,1,0,1
382,Danns,Jayden,Danns,Liverpool,14,4,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.2,a,0,0,0,0
383,Elliott,Harvey,Elliott,Liverpool,14,3,MID,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
579,Araujo,Ronald,Araujo,Liverpool,14,2,DEF,54,22,284,0,0,3,0,0,0,0,1,0,0,1,81,48.8,7.7,4.0,6.0,3,0.00,0.06,0.06,2.75,4.4,4.4,3.0,a,5,15,19,24
627,Barcola,Bradley,Barcola,Liverpool,14,3,MID,80,7,168,0,0,2,0,0,0,0,0,0,0,0,22,8.6,24.1,10.0,4.3,2,0.26,0.13,0.39,1.43,2.3,2.3,1.9,a,3,5,0,8
155,Enzo,Enzo,Fernández,Man City,43,3,MID,69,13,271,1,0,2,3,0,0,0,1,0,0,0,73,24.0,51.6,33.0,10.8,3,0.35,0.53,0.88,5.35,2.6,3.2,3.5,a,3,12,6,21
237,Ndiaye,Iliman,Ndiaye,Man City,43,3,MID,58,22,385,0,2,2,4,0,0,0,0,0,0,1,110,70.2,74.0,70.0,21.5,4,0.38,0.58,0.96,9.42,4.4,4.4,7.0,a,8,26,10,44
384,Donnarumma,Gianluigi,Donnarumma,Man City,43,1,GKP,55,19,450,0,0,2,5,1,0,0,0,0,14,0,84,81.0,0.0,0.0,8.2,5,0.00,0.00,0.00,7.25,3.8,3.8,7.7,a,0,32,4,0
386,Bettinelli,Marcus,Bettinelli,Man City,43,1,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
387,O'Reilly,Nico,O'Reilly,Man City,43,2,DEF,64,6,163,0,0,0,2,0,0,0,0,0,0,0,22,12.4,38.7,16.0,6.7,2,0.87,0.43,1.30,2.10,1.2,1.5,11.2,a,3,9,2,5
388,Guéhi,Marc,Guéhi,Man City,43,2,DEF,60,30,450,1,1,2,5,0,0,0,0,0,0,4,114,113.2,43.5,32.0,18.8,5,0.95,0.39,1.34,7.25,6.0,6.0,18.4,a,3,19,26,29
