id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
71,Cook,Lewis,Cook,Bournemouth,91,3,MID,50,7,157,0,0,2,1,0,0,0,0,0,0,0,23,8.4,15.2,0.0,2.4,2,0.00,0.01,0.01,3.84,2.3,2.3,0.2,a,1,5,4,10
72,Gannon-Doak,Ben,Gannon-Doak,Bournemouth,91,3,MID,49,2,2,0,0,0,1,0,0,0,0,0,0,0,6,2.2,0.6,7.0,1.0,0,0.02,0.00,0.02,0.24,0.7,1.0,0.1,a,1,2,0,3
73,Adams,Tyler,Adams,Bournemouth,91,3,MID,50,6,111,0,0,0,4,0,0,0,0,0,0,0,23,17.4,13.4,0.0,3.1,1,0.00,0.01,0.01,0.95,2.0,2.0,0.3,a,3,11,4,18
74,Brooks,David,Brooks,Bournemouth,91,3,MID,50,2,23,0,0,0,2,0,0,0,0,0,0,0,5,0.0,1.6,0.0,0.1,0,0.00,0.01,0.01,0.39,0.7,1.0,0.1,a,0,0,0,0
75,Christie,Ryan,Christie,Bournemouth,91,3,MID,50,2,4,0,0,0,1,0,0,0,0,0,0,0,8,2.8,0.3,0.0,0.3,0,0.00,0.00,0.00,0.13,0.7,1.0,0.0,a,1,1,0,2
76,Tóth.A,Alex,Tóth,Bournemouth,91,3,MID,50,1,15,0,0,0,2,0,0,0,0,0,0,0,5,2.8,0.6,0.0,0.3,0,0.00,0.00,0.00,0.31,0.3,1.0,0.0,a,1,1,0,2
77,Adli,Amine,Adli,Bournemouth,91,3,MID,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
78,Kroupi.Jr,Junior,Kroupi,Bournemouth,91,3,MID,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.2,i,0,0,0,0
79,Evanilson,Francisco Evanilson,de Lima Barbosa,Bournemouth,91,4,FWD,60,11,244,0,2,2,2,0,0,0,1,0,0,0,32,37.6,39.2,45.0,12.1,3,0.71,0.26,0.97,4.32,3.7,3.7,3.3,a,1,8,9,18
80,Enes Ünal,Enes,Ünal,Bournemouth,91,4,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
81,Rodríguez,Álvaro,Rodríguez,Bournemouth,91,4,FWD,60,1,9,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.16,0.3,1.0,0.1,a,0,1,0,1
566,Silva,António João,Pereira de Albuquerque Tavares da Silva,Bournemouth,91,2,DEF,50,7,270,0,0,0,5,0,0,0,1,0,0,0,24,73.8,3.3,30.0,10.7,3,0.27,0.04,0.31,4.80,2.3,2.3,0.4,a,3,7,28,31
573,Sanchez,Juanlu,Sánchez,Bournemouth,91,2,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.2,a,0,0,0,0
608,Jebbison,Daniel,Jebbison,Bournemouth,91,4,FWD,50,2,16,0,0,0,2,0,0,0,0,0,0,0,10,3.4,0.8,17.0,2.1,0,0.10,0.00,0.10,0.36,0.7,1.0,0.1,a,0,1,0,1
615,Di Gregorio,Michele,Di Gregorio,Bournemouth,91,1,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
82,Kelleher,Caoimhín,Kelleher,Brentford,94,1,GKP,50,11,270,0,0,1,2,0,0,0,0,0,7,0,51,57.6,0.0,0.0,5.7,3,0.00,0.01,0.01,3.74,3.7,3.7,6.8,a,0,15,4,0
83,Valdimarsson,Hákon Rafn,Valdimarsson,Brentford,94,1,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
84,Collins,Nathan,Collins,Brentford,94,2,DEF,55,10,196,0,0,1,1,0,0,0,1,0,0,0,39,40.6,22.4,51.0,11.4,3,0.51,0.05,0.56,2.13,3.3,3.3,1.8,d,2,11,15,17
85,Van den Berg,Sepp,van den Berg,Brentford,94,2,DEF,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,i,0,0,0,0
86,Lewis-Potter,Keane,Lewis-Potter,Brentford,94,3,MID,55,18,267,1,1,1,2,0,0,0,0,0,0,3,70,93.8,92.6,43.0,22.9,3,1.03,0.65,1.68,3.74,6.0,6.0,2.2,a,4,12,11,27
87,Ajer,Kristoffer,Ajer,Brentford,94,2,DEF,45,13,270,0,0,1,2,0,0,0,1,0,0,0,44,69.6,22.2,37.0,12.9,3,0.11,0.03,0.14,3.74,4.3,4.3,5.0,a,2,7,30,32
88,Kayode,Michael,Kayode,Brentford,94,2,DEF,46,16,207,1,0,1,1,0,0,0,0,0,0,1,47,55.8,17.8,56.0,12.9,3,0.55,0.21,0.76,2.28,5.3,5.3,9.2,a,1,11,12,13
89,Henry,Rico,Henry,Brentford,94,2,DEF,45,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.3,1.0,0.2,a,0,0,0,0
90,Hickey,Aaron,Hickey,Brentford,94,2,DEF,45,3,61,0,0,0,1,0,0,0,0,0,0,0,8,11.6,5.4,0.0,1.7,0,0.00,0.02,0.02,1.46,1.0,1.0,0.1,a,2,4,4,6
92,Ji-soo,Kim,Ji-soo,Brentford,94,2,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
